Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
GS00629,R 550 D6114 2019,Discover space,,,,9781783730926,,North Parade Publishing Ltd,R,449p.: col. ill.; 29cm,,
GS00630,FIC T969,The adventures of Tom Sawyer,"Twain, Mark",,,9788131914533,,B. Jain Publishers Pvt. Ltd.,FIC,144p.: ill.; 22cm,,
GS00631,FIC B6327 2008,The dark realm,"Blade, Adam",Adam,,9780545200363,New York,"Scholastic, Inc.",FIC,"75p. : ill, ; 20 cm.",,
GS00632,GC 904.5 Z16b 1986,The book of when,,,,603004725,London,Dean,GC,180p.: col. ill.; 26cm,,
GS00633,FIC C3191 2015,Alice in wonderland,"Carroll, Lewis",ewis,,9789350553015,,Apple publishing International Ltd,FIC,163p.: ill.; 22cm,,
GS00634,FIC 813.6 C695l 2015,The land of stories: beyond the kingdoms,"Colfer, Chris",hris,,978054593086,,"Scholastic, Inc.",FIC,419p. ; 20 cm,,
GS00635,FIC 853.92 S85 2004,Migty mount kilimanjaro,"Stilton, Gerenimo",nimo,,9780545103718,,"Scholastic, Inc.",FIC,109p. : ill. ; 20 cm,,
GS00636,FIC P912c 2013,The carpet people,"Pratchett, Terry",erry,,9780544439542,Boston,Houghton Mifflin Harcourt,FIC,289p.: col. ill.; 20cm,,
GS00637,FIC R98 2000,Esperanza rising,Ryan,Ryan,,9780439120425,,,FIC,262p.; 20cm,,
GS00638,FIC G716 2010,Tall story,"Gourlay, Candy",andy,,9789711903008,,"Anvil Publishing, Inc.",FIC,233p.; 22cm,,
GS00639,FIC 813.6 K558 2010,Diary of a wimpy kid: the ugly truth,"Kinney, Jeff",Jeff,,9780810997936,New York,Amulet Books,FIC,217p. : ill. ; 21 cm.,,
GS00640,FIC 823.8 C2361 2008,Alice's adventures in wonderland,"Caroll, Lewis",ewis,,9780141321073,New York,Puffin Books,FIC,"xiii, 145p. : ill. ; 18 cm.",,
GS00641,FIC 813.6 R961h 2013,Dork diaries: holiday heartbreak,"Russel, Rachel Renee",enee,,9781471122514,London,Simon & Schuster,FIC,343p. : ill. ; 20 cm.,,
GS00642,FIC M95 2010,Trash,"Mulligan, Andy",Andy,,9780385752142,New York,Random House Children's Book,FIC,,,
GS00643,FIC C2871 2013,The field of wacky inventions,"Carman, Patrick",rick,,9780545798594,New York,Scholastic Inc.,FIC,215p. ; 20 cm.,,
GS00644,FIC B2752 2008,Peter Pan,"Barrie, J.M.",J.M.,,9780553211788,New York,Bantam Dell,FIC,164p. ; 18 cm.,,
GS00645,FIC M1351 2008,Judy moody goes to college,"McDonald, Megan",2008,,9780545203982,New York,Scholastic Inc.,FIC,129p. ; 20 cm.,,
GS00646,EB D493 2002,Moses in the reeds,"Deverell, Richard",2002,,755407466,China,Grandreams Books Limited,EB,[16]p. ; 21 cm.,,
GS00647,FIC O881 2002,Stephen of philadelphia,"Otis, James",2002,,,,A Beka Book,FIC,152p. ; 19 cm.,,
GS00648,FIC M1143 2004,The life shop,"McAllister, Margaret",2004,,9780745949062,England,Lion Children's Books,FIC,143p. ; 20 cm.,,
GS00649,899.211 An74am 2002,Ang mahiyaing manok,"Anonuevo, Rebecca",2002,,971508074X,,Adarna House,FIC,24 cm,,
GS00650,899.211 B417f,F:lemon mamon,"Bellen, Christine",2004,,9715082467,,Adarna house,FIC,23cm,,
GS00651,597.928 M542g,The green sea turtle,"Merame, Chris",,,812622723,,Open court publishing company,FIC,16p. ; 23cm,,
GS00652,899.211 V713d 2007,Dalawang bayani ng bansa,"Villanueva, Rene O.",2007,,9789715083058,,Adarna house,FIC,23cm,,
GS00653,899.211 D992y 2005,The yellow paperclip with bright purple spots,"Dy-Liacco, Nikki",2005,,9715082637,,Adarna house,FIC,23cm,,
GS00654,899.211 M433a,Alamat ng bawang,"Matias, Segundo D. Jr",,,9789715183451,,Lampara books,FIC,32p ;23cm,,
GS00655,899.211 T365s,Si Mariang alimango,"Thomas, Lacson",1992,,9175081886,,Adarna house,FIC,23cm,,
GS00656,899.211 G263u,Ulkkk! di ko malunok ang tableta,"Gatmaitan, Luis P. M.D.",2006,,9789715119450,,OML literature Inc.,FIC,30p ;23cm,,
GS00657,F 823 W629r 2002,Romp in the swamp,"Whybrow, Ian",2002,,9781856132336,,Puffin books,FIC,26cm,,
GS00658,537 J558c 2007,Can we plug into lightning,"Jimenez, Gidget Roceles.",2007,,97689715083096,,Adarna house,FIC,40p ;26cm,,
GS00659,899.211 M739a 2012,Anong gapuit natin ngayon?,"Molina, Russell",2012,,9789715084239,,Adarna house,FIC,23cm,,
GS00660,899.211 Si51a,Ang dahong ibig na laging berde,"Simplicio, Bisa",2011,,9789719900047,,C&E publishing Inc.,FIC,38p ;26cm,,
GS00661,899.211 V713pb,Ang pambihirang buhok ni lola,"Villanueva, Rene",2001,,9715081231,,Adarna house,FIC,23cm,,
GS00662,F 823 K632L 2007,Library mouse,"Kirk, Daniel",2007,,9780545109604,,Scholastic Inc.,FIC,27cm,,
GS00663,899.211 P278t,Tight times,"Patindol, Jeanete C.",2007,,9789715083072,,Adarna house,FIC,23cm,,
GS00664,513 Sa37w 2013,When Zero left number land,"Salvador, Maita Songgo",2013,,9789715084512,,Adarna house,FIC,23cm,,
GS00665,899.211 G234m,May higante sa aming bahay,"Garlitos, Rhandee",2009,,9789715083515,,Adarna house,FIC,23cm,,
GS00666,155.5 J138s,Shyness isn't a minus,"Jackson, J.S.",2006,,9789715906005,,Paulines publishing house,FIC,21cm,,
GS00667,899.211 G263i,Ipinaglihi sa labanos,"Gatmaitan,Luis P. M.D.",2012,,9789712726415,,"Anvil Publishing, Inc.",FIC,22p ;23cm,,
GS00668,899.211 V713pb,Ang pambihirang buhok ni lola,"Villuaneva, Rene",2001,,9715081231,,Adarna house,FIC,23cm,,
GS00669,899.211 F198h,Hating kapatid,"Falgui, Raissa Rivera",2013,,9789715084499,,Adarna house,FIC,23cm,,
GS00670,899.211 G263y,"Yakkk, bulutong-tubig","Gatmaitan,Luis P. M.D.",2006,,9789715119542,,OMF literature Inc.,FIC,23cm,,
GS00671,899.211 G995m,Munting patak-ulan,"Guzman, Gloria Villaraza",1981,,9711210975,,Adarna house,FIC,23cm,,
GS00672,899.211 R136n,"Naku, nakuu, nakuuu","Rafael, Nanoy",2008,,9789715083362,,Adarna house,FIC,28cm,,
GS00673,398.2 G795,The greedy dog = ang sakim na aso,,,,9789719936749,Manila,"WS Pacific Publucations, Inc",FIC,32cm,,
GS00674,899.211 M274d,Diego at marie ang lihim na kahulugan ng tahanan,"Magnuson, Robert",2019,,9789715087650,Quezon city,Adarna house,FIC,34cm,,
GS00675,398.2 H279,The hare and the tortoise= ang kuneho at ang pagong,,,,9789719936756,Manila,"WS Pacific Publucations, Inc",FIC,32cm,,
GS00676,899.211 Al621t,Ang tikbalang kung kabilugan ng buwan,"Almario, Vargilio S.",2019,,9789715087711,Quezon city,Adarna house,FIC,34cm,,
GS00677,EB Av335s 2003,Standing up to peer pressure a guide to being true to you,"Auer, Jim",2003,,9715904947,Pasay,Paulines Publishing house,EB,21cm,,
GS00678,808.83 Of27,Off to adventure!,,2001,,618036555,Usa,Houghton Miffin Company,FIC,21cm,,
GS00679,899.211 Ac72m,The moon is my friend,"Acosta,Chie Latiaco",,,9715082866,Adarna house,,FIC,23cm,,
GS00680,899.211 An74am 2009,Ang mahiyaing manok,"Anonuevo, Rebecca T.",2009,,971508074,Adarna house,,FIC,24cm,,
GS00681,EB A445i 1980,Ibong adarna,"Almario, VIrigilio",1980,,978971508152,Quezon city,Adarna house,EB,23cm,,
GS00682,899.211 R524b,Bisnesboy Minggoy,"Rivera, Augie",2001,,618036555,Usa,,FIC,21cm,,
GS00683,177 M453p,Pagiging matapat=being honest,"Mayer,Cassie",,,9789719900269,Quezon city,"C & E Publishing,inc",FIC,20cm,,
GS00684,899.211 Ib11g,The greetiest of rajahs and the whitest of clouds = ang pianakasakim na raha at ang pinakamaputing ulap,"Ibardoloza,Honoel",2004,,9715082424,,Adarna house,FIC,23cm,,
GS00685,EB P2687b 2007,The boy who cried wolf = ang batang nagsisinungaling tungkol sa lobo,"Pastor,Boots S.A.",,,9715181266,,,EB,27cm,,
GS00686,F 823 H466s,Secret soup,"Hessell,Jenny",1989,,790101831,Canada,GINN Publising inc,FIC,17cm,,
GS00687,899.211 Al621im,Isang mayang uhaw paano siya makakaiinom ng tubig sa baso,"Almario,Virgilio S.",1993,,9711211750,Adarna house,,FIC,23cm,,
GS00688,EB J3121p 2008,"Playing it safe a kid guide to staying healthy,happy, and secure",Jackson J.S.,2008,,9789715907002,Usa,Paulines Publishing House,EB,21cm,,
GS00689,177 M923o,One caring kid a oook about you and what your kindness can do!,"Mundy, MIchaelene",2008,,9789715907187,Paulines publishing house,,FIC,21cm,,
GS00690,FIC B63l 1993,the litttle brownie house and other stories,"Blyton, Enid",1993,,9781841354675,Nottingshamshire,Award Publications Limited,FIC,20cm.,,
GS00691,FIC B62 2011,The spiderwick chronicles: the seeing stone,"Diterlizzi, Tony",2011,,9780857072443,London,Simon and Schuster,FIC,18cm.,,
GS00692,899.211 Or49w,Whuush!,"Oris, Glenda",2011,,9789715089713,,Adarna house,FIC,23cm,,
GS00693,F 823 L585m,My friend harry,"Lewis, kim",1995,,7445525958,,,FIC,22cm,,
GS00694,220.95 St765L,The story of lazaruz,,2019,2nd,978813193595,,WS Pacific a publication,FIC,28cm,,
GS00695,EB P119H 2010,Hipon and baya,"Pacis, Carla",2004,,9715082386,,Adarna house,EB,23cm,,
GS00696,372.4 Eu75b,Big world fot little people,"Eusbio-abad, Heide emily",2014,,9789710511844,,LG&M Corporation,FIC,24cm,,
GS00697,899.211 Al621pm,Si pagong at si matsing,"Almario, Virgilio S.",2006,,9789715082822,,Adarna house,FIC,23cm,,
GS00698,EB M199d 2006,Diego and marie present a secret sense of home an early science adventure,"Magnuson, Robert",2006,,9715082858,,Adarna house,EB,23cm,,
GS00699,899.211 F391m,"Maia'""s Birthday party","Fernandez, Yvette",2012,,9789715084246,,Adarna house,FIC,23cm,,
GS00700,FIC S8579b 2007,Big trouble and the big apple,"Stilton, Thea",2007,,9780545227759,New York,"Scholastic, Inc.",FIC,156p. : ill. ; 20 cm.,,
GS00701,EB M468p 2012,Pagiging responsable = being responsible,"Mayer, Cassie",2012,,,,C & E publishing,EB,20cm,,
GS00702,EB P213e 1995,Pakikipagkaibigan = making friends,"Mayer, Cassie",2012,,9789719900276,,C & E publishing,EB,20cm,,
GS00703,F 823 C868j,Joyce's story,Carolyn crimi,,5th,9789719900290,,Open court publisihing,FIC,23cm,,
GS00704,F 823 C868j,Joyce's story,Carolyn crimi,,27th,812622758,,Open court publisihing,FIC,23cm,,
GS00705,899.211 F198h,Hating kapatid,"Falgui rivera, Raissa",2013,,812622758,,Adarna house,FIC,23cm,,
GS00706,899.211 P116b,But that won't make me sleep,"Pacana-lumbao, Annie",2013,,9789715084499,,Adarna house,FIC,23cm,,
GS00707,220.95 P266d,David and goilath = si david at goliath,"Pastor, Boots S.A.",2007,,,,Lampara Publishing house,FIC,27cm,,
GS00708,398.2 P266c,The country moiuse and the city mouse = ang dagang taganayon ay dagang tagalungsod,"Pastor, Boots S.A.",2008,,9789715181419,,Lampara Publishing house,FIC,27cm,,
GS00709,398.2 P266f,The frog and the ox = ang palaka at ang baka,"Pastor, Boots S.A.",2008,,9789715181679,,Lampara Publishing house,FIC,27cm,,
GS00710,EB M468p 2012,Pagiging matulungin = being helpful,"Mayer, Cassie",2012,,9789719900252,,C & E publishing,EB,20cm,,
GS00711,F 823 Sh178r,The rough-face girl,"Shannon, David",1992,,590469320,,"Published by scholastic inc,",FIC,28cm,,
GS00712,EB R121n 2008 c2,"naku,nakuu,nakuuu!","Rafael, Nanoy",2008,,9789715083362,,Adarna house,EB,28cm,,
GS00713,F 823 B856L,The love in my heart,"Bugbird, Tim",2014,,9789814729949,Singapore,scholastic,FIC,23cm,,
GS00714,372.4 M444,Matutong magbasa!,,2015,,9789712730856,,"Anvil publishing inc,",FIC,22cm,,
GS00715,177 M923g,I'ts greatful tob greatful! a kid's guide to being thankful,"Mundy, ,Michaelene",2012,,,,Paulines publishing,FIC,21cm,,
GS00716,782.42 K199i,I'm still here in the bathtub brand new silly dilly songs,"Katz, Alan",,,439680956,,scholastic,FIC,28cm,,
GS00717,553.7 J558c,Can we drink the ocean: a book about water,"Jimenez, Gidget Roceles",2007,,9789715083065,,"Adarna House, Inc.",REF,26 cm.,,
GS00718,899.211 V713d 2007,Dalawang bayani ng bansa,"Villanueva, Rene O.",2007,,9789715083058,,"Adarna House, Inc.",REF,23 cm.,,
GS00719,FIC D13b 1984,Boy: tales of childhood,"Dahl, Ronald",nald,,590538284,New York,Scholastic Inc.,FIC,176p. : ill. ; 20 cm.,,
GS00720,FIC D13m 1988,Matilda,"Dahl, Ronald",1988,,590996835,New York,Scholastic Inc.,FIC,240p. : ill. ; 20 cm.,,
GS00721,FIC A232 [?],Robin hood,"Aden, Manpreet K.",,,9788131917718,United States of America,Pegasus,FIC,112p. : ill. ; 22 cm.,,
GS00722,FIC A232 [?] c.1.,Robin hood,"Aden, Manpreet K.",,,9788131917718,United States of America,Pegasus,FIC,112p. : ill. ; 22 cm.,,
GS00723,FIC H3181 2013,The rescue princesses,"Harrison, Paula",2013,,9780545509176,New York,Scholastic Inc.,FIC,114p. : ill. ; 20 cm.,,
GS00724,FIC C7761 1997,The last of the mohicans,"Cooper, James Fenimore",1997,,721407897,,Ladybird books,FIC,51p. : col. ill. ; 18 cm.,,
GS00726,GC 808.068 R5725 [?],Share your gratitude,"Riji, Hadhaizi Chengzhang",,,9787542773869,,,GC,75p. : col. ill. ; 21 cm.,,
GS00727,EB M325 2010,Ang apoy sa samba,"Maranan, Ed",2010,,9789715849463,,"C&E Publishing, Inc.",EB,20p. : col. ill. ; 26 cm.,,
GS00728,FIC T7844 1998,Treasury of mother goose rhymes,,1998,,785317279,,"Publications International, Ltd.",FIC,384p. : col. ill. ; 23 cm.,,
GS00729,FIC B63t 2013,Tales of toyland,"Blyton, Enid",2013,,9781405266895,,Egmont,FIC,186p. : ill. ; 20 cm.,,
GS00730,FIC B63e 2015,The enchanted bellows,"Blyton, Enid",2015,,9780753730522,,Bounty Books,FIC,187p. : ill. ; 20 cm.,,
GS00731,FIC B661l 2015,Thr little lost hen,"Blyton, Enid",,,,,,FIC,,,
GS00732,FIC B327 1999,The wizard of Oz,"Baum, L. Frank",,,,,,FIC,,,
GS00733,FIC H76 2010,The odyssey,Homer,,,,,,FIC,,,
GS00734,910 It85,Itravel by...,,,,8176143646,,USA ; specialty books,FIC,16p.; 24cm,,
GS00736,899.211 F391h,Haluhalo espesyal,"Fernandez, Yvette",,,9789715082839,,Adarna House,GC,21p.; 22cm,,
GS00737,F 823 P762j,The junkyard wonders,"Polacco, Patricia",,,9780390712,,Scholastic,GC,52p.; 28cm,,
GS00738,FIC S1874 2014 b.1.,Si janus silang at ang tiyanak ng tabon,"Samar, Edgar Calabia",2014,,9789715084741,Quezon City,Adarna House,FIC,179p. : 20 cm,,
GS00739,FIC S1874 2015 b.2.,Si janus silang at ang labanang manananggal-mambabarang,"Samar, Edgar Calabia",2015,,9789715085663,Quezon City,Adarna House,FIC,201p. : 20 cm,,
GS00740,FIC S1874 2017 b.3.,Si janus silang at ang pitumpu't pitong pusong,"Samar, Edgar Calabia",2017,,9789715086226,Quezon City,Adarna House,FIC,322p. : 20 cm,,
GS00741,FIC S1874 2019 b.4.,Si janus silang at ang hiwagang may dalawang mukha,"Samar, Edgar Calabia",2019,,9789715087780,Quezon City,Adarna House,FIC,287p. : 20 cm,,
GS00742,FIC S1874 2021 b.5.,Si janus silang at ang lihiim ng santinakpan,"Samar, Edgar Calabia",2021,,9789715088718,Quezon City,Adarna House,FIC,496p. : 20 cm,,
GS00743,FIC S8579i 2016,Spacemice: the invisible planet,"Stilton, Geronimo",2016,,9781338215045,New York,"Scholastic Inc.,",FIC,113p. ; col. ill. : 20 cm,,
GS00744,FIC S8579r 2016,Heromice: revenge of the mini-mice,"Stilton, Geronimo",2016,,9781338182736,New York,"Scholastic Inc.,",FIC,117p. ; col. ill. : 20 cm,,
GS00745,FIC S8579n 2015,Heromice: insect invasion,"Stilton, Geronimo",2015,,9781338116618,New York,"Scholastic Inc.,",FIC,115p. : col. ill. : 20 cm,,
GS00746,FIC S8579s 2017,The sticky situation,"Stilton, Geronimo",2017,,9781338587562,New York,"Scholastic Inc.,",FIC,107p. : col. ill. : 20 cm,,
GS00747,FIC S8579h 2017,"Happy birthday, stilton!","Stilton, Geronimo",2017,,9781338587531,New York,"Scholastic Inc.,",FIC,105p. : col. ill. : 20 cm,,
GS00748,FIC H7589 2020,Thunder girls,"Holub, Joan",2020,,9781481496483,New York,Alladin,FIC,249p. : 20 cm,,
GS00749,FIC S8579b 2017,Thea stilton and the black forest burglary,"Stilton, Thea",2017,,9781338546989,New York,"Scholastic Inc.,",FIC,170p. ; col. ill. : 20 cm,,
GS00750,FIC S8579ha 2012,Creepella von cacklefur: the haunted dinosaur,"Stilton, Geronimo",2012,,9781338087895,New York,"Scholastic Inc.,",FIC,110p. ; col. ill. : 20 cm,,
GS00751,FIC S8579su 2012,Creepella von cacklefur: a suitcase full of ghosts,"Stilton, Geronimo",2012,,9780545746113,New York,"Scholastic Inc.,",FIC,110p. ; col. ill. : 20 cm,,
GS00752,FIC S8579he 2015,Micekings: the helmet holdup,"Stilton, Geronimo",2015,,9781338159219,New York,"Scholastic Inc.,",FIC,112p. ; col. ill. : 20 cm,,
GS00753,FIC G727 2017,Welcome to wonderland: beach party surf monkey,"Grabenstein, Chris",2017,,9780553536133,New York,A yearling book,FIC,300p. ; ill. : 20 cm,,
GS00754,FIC B6582 2014,Fashion fairy princess,Bluebell,2014,,9781407139548,London,"Scholastic Ink.,",FIC,80p. ; ill. : 20 cm,,
GS00755,FIC D8861 2010,The count of monte cristo,"Dumas, Alexandre",2010,,9789715183802,Manila,Lampara Books,FIC,127p. : col. ill. : 20 cm,,
GS00756,FIC A933 2012,Pride and prejudice,"Austen, Jane",2012,,9789715186261,Manila,Lampara Books,FIC,125p. : col. ill. : 20 cm,,
GS00757,FIC H895 2010,The hunchback of notre dame,"Hugo, Victor",2010,,9789715183888,Manila,Lampara Books,FIC,127p. ; col. ill. : 20 cm,,
GS00758,FIC S3681 2004,Lost in the snow,,2004,,439563307,New York,"Scholastic Inc.,",FIC,[unpaged] : 23 cm,,
GS00759,FIC C7121 2014,Rosa in the sparkle city,"Collins, Poppy",2014,,9781407139531,New York,"Scholastic Inc.,",FIC,83p. : 20 cm,,
GS00760,FIC S8579ra 2016,Thea stilton and the race for the gold,"Stilton, Thea",2016,,9781338587494,New York,"Scholastic Inc.,",FIC,170p. ; col. ill. : 20 cm,,
GS00761,FIC C8746 2018,The wizards of once: twice magic,"Cowell, Cressida",2018,,9780316523418,New York,"Little, Brown and Company",FIC,382p. ; ill. : 21 cm,,
GS00762,FIC C8223 2016,Shades of doon,"Corp, Carey",2016,,9780310742418,Michigan,Blink,FIC,346p. : 21 cm,,
GS00763,FIC S5272 2010,The merchant of venice,"Shakespeare, William",2010,,978043477567,New York,Simon & Schuster,FIC,247p. : 18 cm,,
GS00764,FIC M7871 2001,Anne of green gables,"Montgomery, L.M.",2001,,9780439295772,New York,"Scholastic Inc.,",FIC,373p. : 18 cm,,
GS00765,FIC F193 2015,Moonfleet,"Falkner, J. Meade",2015,,9781407159164,New York,"Scholastic Inc.,",FIC,291p. : 20 cm,,
GS00766,FIC P233 2015,Amelia Bedelia,"Parish, Herman",2015,,9780062334015,New York,Greenwillow Books,FIC,145p. ; ill. : 21 cm,,
GS00767,FIC H3131 2019,The magic misfits,"Harris, Neil Patrick",2019,,97803016391870,New York,"Little, Brown and Company",FIC,313p. ; ill. : 20 cm,,
GS00768,FIC M854 2009,Nicola berry and the petrifying problem with princess petronella,"Moriarty, Liane",2009,,9781524788087,New York,Penguin Books,FIC,248p. : 20 cm,,
GS00769,FIC K2957 2017,"Hello, universe: some friendships are meant to be","Kelly, Erin Entrada",2017,,9780062877505,New York,Greenwillow Books,FIC,313p. : 20 cm,,
GS00770,FIC C695 2019,A tale of magic,"Colfer, Chris",2019,,9780316495257,New York,"Little, Brown and Company",FIC,481p. : 20 cm,,
GS00771,FIC D7713 2017,Trolls,,2017,,9781629917184,New York,Papercutz,FIC,56p. : 23 cm,,
GS00772,FIC S7951 2016 s.1.,Melowy: dreams come true,"Star, Danielle",2016,,9781338151749,New York,"Scholastic Inc.,",FIC,75p. ; col. ill. : 20 cm,,
GS00773,FIC S7951 2016 s.2.,Melowy: the song of the moon,"Star, Danielle",2016,,9781338151763,New York,"Scholastic Inc.,",FIC,77p. ; col. ill. : 20 cm,,
GS00774,FIC S7951 2016 s.3.,Melowy: the night of courage,"Star, Danielle",2016,,9781338151787,New York,"Scholastic Inc.,",FIC,74p. ; col. ill. : 20 cm,,
GS00775,FIC S7951 2016 s.4.,Melowy: the ice enchantment,"Star, Danielle",2016,,9781338151800,New York,"Scholastic Inc.,",FIC,74p. ; col. ill. : 20 cm,,
GS00776,FIC S7951 2016 s.5.,Melowy: the surprise visit,"Star, Danielle",2016,,9781338281767,New York,"Scholastic Inc.,",FIC,75p. ; col. ill. : 20 cm,,
GS00777,FIC S7951 2016 s.6.,Melowy: the secret book,"Star, Danielle",2016,,9781338281712,New York,"Scholastic Inc.,",FIC,73p. ; col. ill. : 20 cm,,
GS00778,FIC S7951 2016 s.7.,Melowy: the power of friendship,"Star, Danielle",2016,,9781338625240,New York,"Scholastic Inc.,",FIC,81p. ; col. ill. : 20 cm,,
GS00779,FIC S7951 2016 s.8.,Melowy: the princess ball,"Star, Danielle",2016,,9781338625264,New York,"Scholastic Inc.,",FIC,80p. ; col. ill. : 20 cm,,
GS00780,FIC P9576 2018,The lost book: the scroll of kings,"Prineas, Sarah",2018,,9780062665584,New York,Harper Collins,FIC,296p. : 22 cm,,
GS00781,FIC C9535 2016,The mighty dynamo,"Crowley, Kieran",2016,,9781250079244,New York,Feiwel and Friends,FIC,357p. : 22 cm,,
GS00782,FIC O183 2018,Wonderland,"O'connor, Barbara",2018,,9780374310608,New York,Farrar Straus Giroux,FIC,282p. : 22 cm,,
GS00783,FIC K2957 2018,You go first,"Kelly, Erin Entrada",2018,,9780062414182,New York,Greenwillow Books,FIC,288p. : 22 cm,,
GS00784,FIC W3371 2018,Stick dog: crashes a party,"Watson, Tom",2018,,9780062410962,New York,Harper Collins,FIC,230p. ; ill. : 22 cm,,
GS00785,EB T174 2020,My very first bible stories,"Tapp, Erica",2020,,9780241439968,Great Britain,Dorling Kindersley Limited,EB,47p. ; col. ill. : 20 cm,,
GS00786,EB A941 2022,Bedtime prayers,,2022,,9781801082532,Sweden,Autumn Publishing,EB,[unpaged] ; col. ill. : 20 cm,,
GS00787,EB L7931 2018,Pop-up peekaboo! under the sea,"Lloyd, Clare",2018,,9780241333112,Great Britain,Dorling Kindersley Limited,EB,[unpaged] ; col. ill. : 22 cm,,
GS00788,EB L7931p 2018,Pop-up peekaboo! baby dinosaur,"Lloyd, Clare",2018,,9780241342077,Great Britain,Dorling Kindersley Limited,EB,[unpaged] ; col. ill. : 22 cm,,
GS00789,EB A941d 2023,Lift the flap: dangeroud dinosaurs,,2023,,9781803686905,United Kingdom,Autumn Publishing,EB,24p. ; col. ill. : 22 cm,,
GS00790,EB S55939f 2013,Funny shopville stories,,2013,,9780545925563,New York,"Scholastic Inc.,",EB,[unpaged] ; col. ill. : 23 cm,,
GS00791,EB S55939l 2013,lost and hound,,2013,,9781338135541,New York,"Scholastic Inc.,",EB,[unpaged] ; col. ill. : 23 cm,,
GS00792,EB K548 2011,I wonder why: triceratops had horns and other questions about dinosaurs,,2011,,9780753431245,London,Kingfisher,EB,32p. ; col. ill. : 28 cm,,
GS00793,EB K548k 2011,I wonder why: Kangaroos have pouches and other questions about baby anumals,,2011,,9780753431252,London,Kingfisher,EB,31p. ; col. ill. : 28 cm,,
GS00794,EB K548h 2012,I wonder why: there's a hole in the skly and other questions about the environment,,2012,,9780753432815,London,Kingfisher,EB,32p. ; col. ill. : 28 cm,,
GS00795,EB W3599 2024,Bible strories: the creation,,2024,,9786214330133,Manila,"WS Pacific Publications, Inc.",EB,[unpaged] ; col. ill. : 17 cm,,
GS00796,EB W9471 2021,5 Minute bible stories,,2021,,9789715189477,Manila,Lampara Publishing House,EB,109p. ; col. ill. : 20 cm,,
GS00797,EB B574r 2014,Responsibility,"Bezenac, Agnes de",2014,,9786214740130,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill. : 21 cm,,
GS00798,EB B574k 2014,Kindness,"Bezenac, Agnes de",2014,,9789715189378,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill. : 21 cm,,
GS00799,EB B574t 2014,Thankfulness,"Bezenac, Agnes de",2014,,9786214740086,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill. : 21 cm,,
GS00800,EB B574s 2014,Sharing,"Bezenac, Agnes de",2014,,9786214740123,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill. : 21 cm,,
GS00801,EB B574l 2014,Love,"Bezenac, Agnes de",2014,,9789715189408,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill : 21 cm,,
GS00802,EB B574c 2014,Courage,"Bezenac, Agnes de",2014,,9786214740017,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill : 21 cm,,
GS00803,EB O698 2020 c.1.,Ako ay may kiki,"Oris, Glenda",2020,,9789715189286,Manila,Lampara Publishing House,EB,30p. ; col. ill. : 23 cm,,
GS00804,EB O698 2020 c.2.,Ako ay may kiki,"Oris, Glenda",2020,,9789715189286,Manila,Lampara Publishing House,EB,30p. ; col. ill. : 23 cm,,
GS00805,EB G616 2019 c.1.,Ako ay may titi,"Gojo Cruz, Genaro R.",2019,,9789715189125,Manila,Lampara Publishing House,EB,30p. ; col. ill. : 23 cm,,
GS00806,EB G616 2019 c.2.,Ako ay may titi,"Gojo Cruz, Genaro R.",2019,,9789715189125,Manila,Lampara Publishing House,EB,30p. ; col. ill. : 23 cm,,
GS00807,EB M115 2013,Sine madyika,"Macaraeg, Lauren V.",2013,,9789715186315,Manila,Lampara Publishing House,EB,32p. ; col. ill. : 23 cm,,
GS00808,EB M236 2013,The girl who always looked at people's shoes = Ang batang laging tumitingin sa sapatos ng mg tao,"Malabed, Liwliwa N.",2013,,9789715186636,Manila,Lampara Publishing House,EB,32p. ; col. ill. : 23 cm,,
GS00809,EB B8263 2011,Kiko's room = ang kuwarto ni kiko,"Bravo, Becky",2011,,9789715185165,Manila,Lampara Publishing House,EB,32p. ; col. ill. : 23 cm,,
GS00810,EB M236s 2017,Super ningning,"Malabed, Liwliwa N.",2017,,9789715188548,Manila,Lampara Publishing House,EB,31p. ; col. ill. : 23 cm,,
GS00811,EB S511 2013,"My father, the shape shifter = Ang tatay kong nagpapalit-palit ng hugis","Sevilla, Maria Cecilia",2013,,9789715186346,Manila,Lampara Publishing House,EB,32p. ; col. ill. : 23 cm,,
GS00812,EB B971 2017,Welcome to the mass,"Burrin, Angela M.",2017,,9789715188586,Manila,Lampara Publishing House,EB,45p. ; col. ill. : 23 cm,,
GS00813,EB P2931 2010,Collection of stories with moral lessons,"Pastor, Boots S.A",2010,,9789715184519,Manila,Lampara Publishing House,EB,64p. ; col. ill. : 27 cm,,
GS00814,EB P2931 2008,The deer at the pond,"Pastor, Boots S.A",2008,,9789715181839,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill. : 27 cm,,
